producto_normalizado,marketplace,url_producto,titulo_detectado,imagen_url,imagen_local,estado_extraccion
Lámina de álabes para bomba de vacío,Mercado Libre,https://www.mercadolibre.com.mx/lamina-de-alabes-para-bombas-de-vacio-de-100-x-37-x-5-mm-4/p/MLM2008903099,"Palheta 600 149,60 x 48 x 4,50 mm Gimenez",https://agropeperi.cdn.magazord.com.br/img/2023/07/produto/7185/palheta-gmz-600-149-60x48x4-50-mm-agropeperi-ordenha.png?ims=96x96,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\lamina-de-alabes-para-bomba-de-vacio.png,ok
Bote de basura con tapa 26 L,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-908569486-bote-de-basura-papelero-con-tapa-mediano-26-lt-plastico-_JM,Bote De Basura Papelero Con Tapa Mediano 26 Lt Plastico - $ 209,https://http2.mlstatic.com/D_NQ_NP_817863-MLM71329273323_082023-O-bote-de-basura-papelero-con-tapa-mediano-26-lt-plastico.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\bote-de-basura-con-tapa-26-l.jpg,ok
Lámpara de escritorio LED,Mercado Libre,https://www.mercadolibre.com.mx/lampara-de-escritorio-led-lampara-de-mesa-con-brazo-oscilante-de-360-blanco/p/MLM40223102,Lámpara Escritorio Led Ajustable Con Brazo Oscilante 360° 3 Modos Luz Brillo Usb Metal Aluminio Ichido - $ 175,https://http2.mlstatic.com/D_NQ_NP_993628-MLA111206648598_052026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\l-mpara-de-escritorio-led.jpg,ok
Repelente ultrasónico para plagas,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-619739256-repelente-de-plagas-ultrasonico-ahuyenta-insectos-y-roedores-_JM,Repelente Electrónico Ultrasónico Ahuyenta Plaga Mosco Rata - $ 67,https://http2.mlstatic.com/D_NQ_NP_849982-MLM90051230761_082025-O-repelente-electronico-ultrasonico-ahuyenta-plaga-mosco-rata.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\repelente-ultras-nico-para-plagas.jpg,ok
Cajas organizadoras apilables 122 L,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-2780749718-3-cajas-organizadoras-almacenamiento-cap-122-l-apilables-_JM,Set x3 Caja organizadora 45 lts Wenbox - TRANSPARENTE,https://f.fcdn.app/imgs/a0dfff/www.garageimpo.com.uy/garauy/41d6/webp/catalogo/AW0145X3_TR_1/1024-1024/set-x3-caja-organizadora-45-lts-wenbox-transparente.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\cajas-organizadoras-apilables-122-l.jpg,ok
Perchero de pared acero inoxidable,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-3436629148-juego-de-perchero-de-pared-de-acero-inoxidable-10-ganchos-_JM,"Juego De Perchero De Pared De Acero Inoxidable, 10 Ganchos - $ 596",https://http2.mlstatic.com/D_NQ_NP_964794-MLM80751986256_112024-O-juego-de-perchero-de-pared-de-acero-inoxidable-10-ganchos.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\perchero-de-pared-acero-inoxidable.jpg,ok
Hidrolavadora Kärcher,Mercado Libre,https://www.mercadolibre.com.mx/hidrolavadora-electrica-krcher-1994-3780-1200w-color-amarillo-110v127v/p/MLM40583845,"Hidrolavadora Eléctrica Kärcher K Compacta 1.994-378.0 1200W Color Amarillo - $ 1,359",https://http2.mlstatic.com/D_NQ_NP_778384-MLA99501169254_112025-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\hidrolavadora-k-rcher.jpg,ok
Impresora HP Smart Tank 525,Mercado Libre,https://www.mercadolibre.com.mx/impresora-multifuncional-hp-smart-tank-525-1f3w3a-color-blanco/p/MLM24026507,"Impresora Multifuncional HP Smart Tank 525, Tinta Continua, Color, Copia, Escaner, Conectividad USB - $ 2,859",https://http2.mlstatic.com/D_NQ_NP_942075-MLA113148121606_072026-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\impresora-hp-smart-tank-525.jpg,ok
Termómetro Brannan inmersión parcial,Mercado Libre,https://www.mercadolibre.com.mx/termometro-lo-tox-20-a-150c-inmersion-parcial-brannan/p/MLM35574503,Termómetro Lo-tox -20 A 150°c Inmersión Parcial Brannan,https://http2.mlstatic.com/D_NQ_NP_929809-MLU75538501670_042024-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\term-metro-brannan-inmersi-n-parcial.jpg,ok
Mesa de trabajo de acero inoxidable,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-709315880-mesa-en-isla-100-acero-inoxidable-150x60x90-marca-ferrinox-_JM,"Mesa En Isla 100% Acero Inoxidable 150x60x90 Marca Ferrinox - $ 3,840.56",https://http2.mlstatic.com/D_NQ_NP_816464-MLM48948143987_012022-O-mesa-en-isla-100-acero-inoxidable-150x60x90-marca-ferrinox.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\mesa-de-trabajo-de-acero-inoxidable.jpg,ok
